z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayModes,abundance,abundanceUncertainty,betaMinus(keV),betaMinusUncertainty,electronCapture(keV),electronCaptureUncertainty,positronEmission(keV),positronEmissionUncertainty,alpha(keV),alphaUncertainty
96,137,233Cm,0,23,s,7,EC = 80.00,,,-5.48E+03,25,4.01E+03,14,2.99E+03,14,7.47E+03,5
96,137,233Cm,0,23,s,7,A = 20.00,,,-5.48E+03,25,4.01E+03,14,2.99E+03,14,7.47E+03,5
96,139,235Cm,0,,,,A ? ,,,-4.80E+03,4,3.39E+03,12,2.37E+03,12,7.28E+03,10
96,139,235Cm,0,,,,EC ? ,,,-4.80E+03,4,3.39E+03,12,2.37E+03,12,7.28E+03,10
96,150,246Cm,0,4706,y,40,A = 99.97,,,-1.35E+03,6,-2377,18,-3399,18,5475.1,9
96,150,246Cm,0,4706,y,40,SF = 0.03,,,-1.35E+03,6,-2377,18,-3399,18,5475.1,9
96,152,248Cm,0,3.48E+05,y,6,A = 91.61,,,-7.40E+02,5,-3.17E+03,20,-4.19E+03,20,5161.8,3
96,152,248Cm,0,3.48E+05,y,6,SF = 8.39,,,-7.40E+02,5,-3.17E+03,20,-4.19E+03,20,5161.8,3
96,151,247Cm,0,1.56E+07,y,5,A = 100.00,,,44,6,-1.62E+03,10,-2.64E+03,10,5354,3
96,143,239Cm,0,2.7,h,8,EC = 100.00,,,-3.10E+03,3,1.76E+03,15,7.30E+02,15,6.54E+03,15
96,143,239Cm,0,2.7,h,8,A LT 1.E-3,,,-3.10E+03,3,1.76E+03,15,7.30E+02,15,6.54E+03,15
96,142,238Cm,0,2.2,h,4,EC = 96.16,,,-4.80E+03,3,1.02E+03,6,0,AP,6670,10
96,142,238Cm,0,2.2,h,4,A = 3.84,,,-4.80E+03,3,1.02E+03,6,0,AP,6670,10
96,142,238Cm,0,2.2,h,4,SF = 0.05,,,-4.80E+03,3,1.02E+03,6,0,AP,6670,10
96,145,241Cm,0,32.8,d,2,EC = 99.00,,,-2.28E+03,17,767.4,12,-254.6,12,6185.2,6
96,145,241Cm,0,32.8,d,2,A = 1.00,,,-2.28E+03,17,767.4,12,-254.6,12,6185.2,6
96,144,240Cm,0,27,d,1,A AP 99.50,,,-3.94E+03,15,214,14,-808,14,6397.8,6
96,144,240Cm,0,27,d,1,SF = 3.9E-6,,,-3.94E+03,15,214,14,-808,14,6397.8,6
96,144,240Cm,0,27,d,1,EC = <  0.50,,,-3.94E+03,15,214,14,-808,14,6397.8,6
96,147,243Cm,0,29.1,y,1,A = 99.71,,,-1508,5,6.9,16,-1015.1,16,6168.8,10
96,147,243Cm,0,29.1,y,1,EC = 0.29,,,-1508,5,6.9,16,-1015.1,16,6168.8,10
96,147,243Cm,0,29.1,y,1,SF = 5.3E-9,,,-1508,5,6.9,16,-1015.1,16,6168.8,10
